Service,Policy Definition,Parameter Requirements,Audit Only,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Parameters,Link
API Management,API Management service should use a SKU that supports virtual networks,Optional,No,,,,,,,,,listOfAllowedSKUs,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/API%20Management/ApiManagement_AllowedVNETSkus_AuditDeny.json
API for FHIR,Azure API for FHIR should use a customer-managed key to encrypt data at rest,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/API%20for%20FHIR/HealthcareAPIs_EnableByok_Audit.json
API for FHIR,Azure API for FHIR should use private link,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/API%20for%20FHIR/HealthcareAPIs_PrivateLink_Audit.json
API for FHIR,CORS should not allow every domain to access your API for FHIR,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/API%20for%20FHIR/HealthcareAPIs_RestrictCORSAccess_Audit.json
App Configuration,App Configuration should disable public network access,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Configuration/PrivateLink_PublicNetworkAccess_Audit.json
App Configuration,App Configuration should use a SKU that supports private link,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Configuration/PrivateLink_AllowedSku_Audit.json
App Configuration,App Configuration should use a customer-managed key,None,No,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Configuration/CustomerManagedKey_Audit.json
App Configuration,App Configuration should use private link,None,Yes,NS-3,,,,,,,,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Configuration/PrivateLink_Audit.json
App Platform,Audit Azure Spring Cloud instances where distributed tracing is not enabled,None,Yes,,,,,,,,,,https://github.com/Azure/azure-policy/tree/master/built-in-policies/policyDefinitions/App%20Platform/Spring_DistributedTracing_Audit.json
App Service,API App should only be accessible over HTTPS,None,Yes,DP-4,,,A.10.1.1,SC-8 (1),3.13.8,0949.09y2Organizational.5 - 09.y,SS-8,,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/App%20Service/AppServiceApiApp_AuditHTTP_Audit.json
