Service,Policy Definition,Parameter Requirements,Azure Security Benchmark,CIS,CCMC L3,ISO 27001,NIST SP 800-53 R4,NIST SP 800-171 R2,HIPAA HITRUST 9.2,New Zealand ISM,Parameters,Link
Batch,Metric alert rules should be configured on Batch accounts,Required,,,,,,,,,metricName,
Compute,Allowed virtual machine size SKUs,Required,,,,,,,,,listOfAllowedSKUs,
Compute,Managed disks should use a specific set of disk encryption sets for the customer-managed key encryption,Required,,,,,,,,,allowedEncryptionSets,
Compute,Only approved VM extensions should be installed,Required,,7.4,,,,,,,approvedExtensions,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/VirtualMachines_ApprovedExtensions_Audit.json
Compute,Resource logs in Virtual Machine Scale Sets should be enabled,Required,LT-4,5.3,,,,,1206.09aa2System.23 - 09.aa,,includeAKSClusters,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Compute/ServiceFabric_and_VMSS_AuditVMSSDiagnostics.json
Cosmos DB,Azure Cosmos DB allowed locations,Required,,,,,,,,,"listOfAllowedLocations, policyEffect",
Cosmos DB,Azure Cosmos DB throughput should be limited,Required,,,,,,,,,throughputMax,
Data Factory,Azure Data Factory linked service resource type should be in allow list,Required,,,,,,,,,allowedLinkedServiceResourceTypes,
General,Allowed locations,Required,,,,,,,,ESS-2,listOfAllowedLocations,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/AllowedLocations_Deny.json
General,Allowed locations for resource groups,Required,,,,,,,,ESS-2,listOfAllowedLocations,https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/General/ResourceGroupAllowedLocations_Deny.json
General,Allowed resource types,Required,,,,,,,,,listOfResourceTypesAllowed,
General,Not allowed resource types,Required,,,,,,,,,listOfResourceTypesNotAllowed,
Guest Configuration,Audit Linux machines that don't have the specified applications installed,Required,,,,,,,,,"IncludeArcMachines, ApplicationName",
Guest Configuration,Audit Linux machines that have the specified applications installed,Required,,,,,,,,,"IncludeArcMachines, ApplicationName",
Guest Configuration,Audit Windows machines missing any of specified members in the Administrators group,Required,,,,,AC-6 (7),3.1.4,1127.01q2System.3 - 01.q,AC-9,"IncludeArcMachines, MembersToInclude",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministratorsGroupMembersToInclude_AINE.json
Guest Configuration,Audit Windows machines network connectivity,Required,,,,,,,,,"IncludeArcMachines, host, port, shouldConnect",
Guest Configuration,Audit Windows machines on which the Log Analytics agent is not connected as expected,Required,,,,,,,1217.09ab3System.3 - 09.ab,,"IncludeArcMachines, WorkspaceId",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsLogAnalyticsAgentConnection_AINE.json
Guest Configuration,Audit Windows machines on which the specified services are not installed and 'Running',Required,,,,,,,,,"IncludeArcMachines, ServiceName",
Guest Configuration,Audit Windows machines that are not joined to the specified domain,Required,,,,,,,,,"IncludeArcMachines, DomainName",
Guest Configuration,Audit Windows machines that are not set to the specified time zone,Required,,,,,,,,,"IncludeArcMachines, TimeZone",
Guest Configuration,Audit Windows machines that contain certificates expiring within the specified number of days,Required,,,,,,,,,"IncludeArcMachines, CertificateStorePath, ExpirationLimitInDays, CertificateThumbprintsToInclude, CertificateThumbprintsToExclude, IncludeExpiredCertificates",
Guest Configuration,Audit Windows machines that do not contain the specified certificates in Trusted Root,Required,,,,,,,0945.09y1Organizational.3 - 09.y,,"IncludeArcMachines, CertificateThumbprints",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_WindowsCertificateInTrustedRoot_AINE.json
Guest Configuration,Audit Windows machines that do not have the specified Windows PowerShell execution policy,Required,,,,,,,,,"IncludeArcMachines, ExecutionPolicy",
Guest Configuration,Audit Windows machines that do not have the specified Windows PowerShell modules installed,Required,,,,,,,,,"IncludeArcMachines, Modules",
Guest Configuration,Audit Windows machines that don't have the specified applications installed,Required,,,,,,,,,"IncludeArcMachines, installedApplication",
Guest Configuration,Audit Windows machines that have the specified applications installed,Required,,,,,,,,,"IncludeArcMachines, ApplicationName",
Guest Configuration,Audit Windows machines that have the specified members in the Administrators group,Required,,,,,AC-6 (7),3.1.4,1125.01q2System.1 - 01.q,AC-9,"IncludeArcMachines, MembersToExclude",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Guest%20Configuration/GuestConfiguration_AdministratorsGroupMembersToExclude_AINE.json
Key Vault,Certificates should be issued by the specified non-integrated certificate authority,Required,,,,,,,,,caCommonName,
Key Vault,Certificates should have the specified lifetime action triggers,Required,,,,,,,,,"maximumPercentageLife, minimumDaysBeforeExpiry",
Key Vault,Certificates should not expire within the specified number of days,Required,,,,,,,,,daysToExpire,
Key Vault,Certificates using RSA cryptography should have the specified minimum key size,Required,,,,,,,,,minimumRSAKeySize,
Key Vault,Keys should have more than the specified number of days before expiration,Required,,,,,,,,,minimumDaysBeforeExpiration,
Key Vault,Keys should have the specified maximum validity period,Required,,,,,,,,,maximumValidityInDays,
Key Vault,Keys should not be active for longer than the specified number of days,Required,,,,,,,,,maximumValidityInDays,
Key Vault,Keys using RSA cryptography should have a specified minimum key size,Required,,,,,,,,,minimumRSAKeySize,
Key Vault,Secrets should have more than the specified number of days before expiration,Required,,,,,,,,,minimumDaysBeforeExpiration,
Key Vault,Secrets should have the specified maximum validity period,Required,,,,,,,,,maximumValidityInDays,
Key Vault,Secrets should not be active for longer than the specified number of days,Required,,,,,,,,,maximumValidityInDays,
Kubernetes,Kubernetes cluster containers CPU and memory resource limits should not exceed the specified limits,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, cpuLimit, memoryLimit",
Kubernetes,Kubernetes cluster containers should not share host process ID or host IPC namespace,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/BlockHostNamespace.json
Kubernetes,Kubernetes cluster containers should not use forbidden sysctl interfaces,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, forbiddenSysctls",
Kubernetes,Kubernetes cluster containers should only listen on allowed ports,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedContainerPortsList",
Kubernetes,Kubernetes cluster containers should only use allowed AppArmor profiles,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedProfiles",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/EnforceAppArmorProfile.json
Kubernetes,Kubernetes cluster containers should only use allowed ProcMountType,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, procMountType",
Kubernetes,Kubernetes cluster containers should only use allowed capabilities,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedCapabilities, requiredDropCapabilities",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/ContainerAllowedCapabilities.json
Kubernetes,Kubernetes cluster containers should only use allowed images,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedContainerImagesRegex",
Kubernetes,Kubernetes cluster containers should only use allowed seccomp profiles,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedProfiles",
Kubernetes,Kubernetes cluster containers should run with a read only root file system,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/ReadOnlyRootFileSystem.json
Kubernetes,Kubernetes cluster pod FlexVolume volumes should only use allowed drivers,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedFlexVolumeDrivers",
Kubernetes,Kubernetes cluster pod hostPath volumes should only use allowed host paths,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedHostPaths",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/AllowedHostPaths.json
Kubernetes,Kubernetes cluster pods and containers should only run with approved user and group IDs,Required,PV-2,,,,,,,,"excludedNamespaces, namespaces, labelSelector, runAsUserRule, runAsUserRanges, runAsGroupRule, runAsGroupRanges, supplementalGroupsRule, supplementalGroupsRanges, fsGroupRule, fsGroupRanges",https://github.com/Azure/azure-policy/blob/master/built-in-policies/policyDefinitions/Kubernetes/AllowedUsersGroups.json
Kubernetes,Kubernetes cluster pods and containers should only use allowed SELinux options,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedSELinuxOptions",
Kubernetes,Kubernetes cluster pods should only use allowed volume types,Required,,,,,,,,,"excludedNamespaces, namespaces, labelSelector, allowedVolumeTypes",
